pid,name
2029,6609 Radnor Rd
2030,5301 Worthington Dr
2031,8008 Park Overlook Dr
2032,10643 Montrose Ave Unit M-2
2033,6420 Garnett Dr
2034,10687 Weymouth St
2035,5301 Westbard Cir
2036,5212 Augusta St
2037,16 Dudley Ct
2038,7500 Woodmont Ave
2039,7204 Blacklock Rd
2040,23 Dudley Ct
2041,10630 Kenilworth Ave
2042,6410 Marjory Ln
2043,8204 River Quarry Pl
2044,4613 Cheltenham Dr
2045,7654 Westlake Ter
2046,4242 E West Hwy
2047,8209 River Quarry Pl
2048,9804 Broad St
2049,5609 Oakmont Ave
2050,10412 Montrose Ave Unit 202
2051,Barclay and Fairfax Court
2052,10626 Weymouth St Unit 202
2053,5225 Pooks Hill Rd Unit 1619S
2054,8206 River Quarry Pl
2055,5116 Wehawken Rd
2056,7510 Shadywood Rd
2057,4702 Highland Ave
2058,8206 River Quarry Pl
2059,Chevy Chase Drive Apartments
2060,Waverly House
2061,The Avondale Apartments
2062,The Seasons
2063,Battery Gardens
2064,7272 Wisconsin Ave
2065,Lakeview Apartments
2066,4733 Bradley Blvd
2067,The Estate Condos at Quarry Springs Phase II
2068,4909-4911 Hampden Ln
2069,Montgomery Row at Rock Spring
2070,Lasko Manor
2071,Fairmont Plaza
2072,8008 Wisconsin Ave
2073,West Lane
2074,Bradley Terrace Apartments
2075,The Rugby
2076,The Darcy
2077,4535 Avondale St
2078,Avondale Apartments
2079,4512 Avondale St
2080,The Lauren Residences
2081,Tilbury Garden Apartments
2082,4530 Avondale St
2083,Chelsea Towers
2084,4810 Chevy Chase Dr
2085,Lionsgate Condominiums
2086,Brooke Park Apartments
2087,4516 Avondale St
2088,4531 Avondale St
2089,Kenwood House
2090,4527 Avondale St
2091,The Promenade
2092,4801 Hampden Ln
2093,4522 Avondale St
2094,Magruder's Discovery Apartments
2095,Kenwood Condominium
2096,The Riviera
2097,St. Elmo Apartments
2098,Crescent Plaza Condominium
2099,Hampden Row
2100,Stonehall Besthesda
2101,The Cheval
2102,7900 Wisconsin Ave
2103,4515 Avondale St
2104,4526 Avondale St
2105,4534 Avondale St
2106,Kenwood Place
2107,The Christopher Condominium
2108,4225-4229 East-West Hwy
2109,The Chase at Bethesda
2110,The Estate Condos at Quarry Springs Phase I
2111,8315 N Brook Ln
2112,Spring Lake Garden Condomimium
2113,The Adagio
2114,Gateway Gardens
2115,Kenilworth Towers
2116,Quincy Village Apartments
2117,The Phoenix Apartments
2118,Newton Green 62+ Senior Community
2119,5200 Newton St Unit T2
2120,Capital View
2121,Hillcrest Village Apartments
2122,Hillcrest Terrace Apartments
2123,5215 Newton St Unit 104
2124,6011 Emerson St Unit 304
2125,Autumn Woods Apartments
2126,Park View at Bladensburg
2127,Emerson House
2128,Coronado Apartments
2129,Candlewood Apartments
2130,Arcadian House
2131,Park View at Bladensburg
2132,Bladenwoods Condominiums
2133,Governors Green
2134,The Garfield
2135,Lake Arbor Towers
2136,Heather Ridge Apartments
2137,Pin Oak Village Senior Apartments
2138,17115 Russet Dr
2139,12620 Blackwell Ln
2140,1701 Peach Blossom Ct
2141,14818 Darbydale Dr
2142,14918 London Ln
2143,12620 Blackwell Ln
2144,15620 Everglade Ln Unit 403
2145,15693 Easthaven Ct Unit 1211
2146,7105 High Bridge Rd
2147,15717 Ensleigh Ln
2148,11312 Sperry Stream Way Unit 135
2149,15609 Everglade Ln Unit F003
2150,12728 Trade Row Unit 47
2151,15402 N Platte Ct
2152,12326 Eugenes Prospect Dr
2153,13804 Dory Ln
2154,12830 Holiday Ln
2155,14540 London Ln
2156,3709 Edmond Way
2157,4327 Rockport Ln
2158,2003 Connor Ct Unit 703L
2159,11252 Westport Dr
2160,14506 Dolbrook Ln
2161,1906 Ardlyn Ct
2162,1709 Linden Park Pl
2163,4810 Spriggs Hope Ct
2164,11919 Galaxy Ln
2165,15825 Erwin Ct
2166,1619 Golf Course Dr
2167,4305 Hatties Progress Dr
2168,3607 Violetwood Pl
2169,10801 Golf Course Ct
2170,5420 Epponians Choice Dr Unit 10
2171,5101 Cornelias Prospect Dr
2172,719 Streamside Dr
2173,1117 Baybury Ct Unit 301
2174,5420 Epponians Choice Dr
2175,12612 Willow Marsh Ln
2176,15334 Norwalk Ct
2177,16312 Ellipse Ter
2178,16121 Oxford Ct
2179,10700 Begonia Ln
2180,9503 Tulip Tree Dr
2181,7824 Quill Point Dr
2182,11924 Frost Dr
2183,14605 London Ln
2184,The Bowen
2185,3030 New Oak Ln
2186,Evergreen Senior Apartments
2187,The Willows Senior Community
2188,14411 Ashleigh Greene Rd
2189,14516 Bubbling Spring Rd
2190,18303 Ashmeade Rd
2191,13826 Dairy Farm Dr
2192,7304 Nanjemoy Drive
2193,17107 Croom Rd
2194,7101 English Point Ln
2195,6306 Hickory Bnd
2196,18004 Horsehead Rd
2197,12711 Tayman Farm Rd
2198,13603 Old Indian Head Rd
2199,15622 Gilpin Mews Ln
2200,Capitol Square
2201,4301 38th St
2202,4108 40th St
2203,4012 Bunker Hill Rd
2204,3722 Parkwood St
2205,Brentwood Apartments
2206,3700 Bladensburg Rd
2207,3800-3804 38th St
2208,3712 Bladensburg Rd
2209,Brentwood
2210,Brentwood Apartments
2211,3510 Windom Rd
2212,The Ashley Of Brentwood
2213,4209 Newark Rd
2214,Regency Place
2215,12524 Erroll Ln
2216,9009 Brewer Creek Pl
2217,8609 Diver Ct
2218,11680 Camp Jones Ct
2219,10159 Pale Rose Loop
2220,12567 Moray Firth Way
2221,13264 Sapphire Ridge Pl
2222,9520 Grady Pond Way
2223,9621 Innerwick Pl
2224,11827 Battalion Sq
2225,6316 S Lake Ct
2226,6225 Fenwick Rd
2227,2889 Chippewa St
2228,5505 Auburn Ct
2229,6133 Lands End Ct
2230,6345 Barnett Smith Pl
2231,3183 Jenkins Ln
2232,5147 New Stead Ct
2233,Indian Head Village
2234,Indian Head Village
2235,Burke Shire Commons Apartments
2236,10340 Rein Commons Ct Unit H
2237,9304 Old Keene Mill Rd Unit e
2238,6360 Tisbury Dr
2239,5912 Annaberg Pl Unit 206
2240,9151 Blarney Stone Dr
2241,6612 Saddlehorn Ct
2242,5134 Harford Ln
2243,9713 Waterline Dr
2244,8985 Omega Ct
2245,5927 First Landing Way Unit 186
2246,5822 Wye Oak Commons Ct
2247,5830 High Bluff Ct
2248,6281 Rathlin Dr
2249,10114 Chestnut Wood Ln
2250,5920 Cove Landing Rd Unit 302
2251,6571 Forest Dew Ct
2252,6104 Virgo Ct
2253,9215 Cutting Horse Ct
2254,6163 Hatches Ct
2255,5639 Summer Oak Way
2256,6103 Calico Pool Ln
2257,5815 Cove Landing Rd Unit 204
2258,10707 Burr Oak Way
2259,9078 Gavelwood Ct
2260,7606 Paloma Ct
2261,5060 Queens Wood Dr
2262,9976 Whitewater Dr
2263,9116 Tiffany Park Ct
2264,9001 Barb Anne Ct
2265,9501 Harrowhill Ln
2266,5821 Cove Landing Rd
2267,5912 Kara Pl
2268,8806 Terry Lynn Ct
2269,6281 Rathlin Dr
2270,5830 High Bluff Ct
2271,5858 Kara Pl
2272,10032 Beacon Pond Ln
2273,Burke Lake Gardens
2274,Burke Centre Station Commons
2275,Knights Bridge II
2276,Country Place Apartments
2277,15025 Pine Top Ln
2278,4232 Red Maple Ct
2279,3104 Bryan Rd
2280,15020 McKnew Rd
2281,7 Ballinger Ct
2282,14321 Vivaldi Ct
2283,3679 Childress Ter
2284,7920 Long Ridge Ct
2285,7916 Cypress Grove Ln
2286,Lighthouse at Twin Lakes Apartment Homes
2287,1911 Bronzegate Blvd Unit 91
2288,3510 Castleleigh Rd
2289,12001 Old Columbia Pike Unit 507
2290,3050 Piano Ln Unit 100
2291,13003 Conductor Way Unit 2
2292,2742 Hunters Gate Ter
2293,13004 Conductor Way Unit 105
2294,13004 Conductor Way
2295,Columbia Towers Condominium
2296,Aspire
2297,Carmel Midtown Square
2298,Tribeca at Camp Springs
2299,The Courts of Camp Springs
2300,Metro Place at Town Center
2301,Allentown
2302,6513 Beechwood Dr Unit 29
2303,4603 Keppler Pl
2304,5605 Auth Rd
2305,5400 Auth Rd Unit 337
2306,7309 Allentown Rd
2307,4255 Talmadge Cir
2308,6919 Taylor Manor Ave
2309,4267 Talmadge Cir
2310,Allure Apollo
2311,Lexington Court
2312,Fox Club
2313,Penn Southern
2314,Courts at Walker Mill
2315,Woods at Addison
2316,Hillside Heights
2317,Addison Chapel
2318,1517 Beaver Heights Ln
2319,6109 Hanlon St Unit A
2320,7252 Joplin St
2321,5607 Prescott Ct
2322,216 Zelma Ave
2323,716 71st Ave
2324,613 Opus Ave
2325,302 Milfan Dr
2326,509 Eastern Ave
2327,1517 Rollins Ave
2328,1521 Rollins Ave
2329,1320 Chapel Oaks Dr
2330,7104 Quarry Ct
2331,7217 Willow Hill Dr
2332,505 Suffolk Ave
2333,134 Daimler Dr
2334,4410 Torque St
2335,St. Paul Senior Living Apartments
2336,Central Gardens II Apartments
2337,The Capitol House
2338,South Hill
2339,Central Garden Apartments I
2340,Eastern Avenue
2341,Fernwood
2342,Woodhaven Apartments
2343,Gateway Village
2344,Regency Lane
2345,Crest Apartments
2346,1106 Cedar Heights Dr
2347,Pleasant Home Apartments
2348,1219 Balboa Ave
2349,Millwood Townhouses
2350,6502 Central Ave
2351,6500 Central Ave
2352,6506 Central Ave
2353,6504 Central Ave
2354,5221 Marlboro Pike
2355,Oella Mill
2356,Cedar Run Apartments
2357,Mount Ridge Apartments
2358,Westerlee Apartment Homes
2359,Montrose Manor Apartments
2360,Old Orchard Apartments
2361,5918 Charnwood Rd
2362,751 Oella Ave
2363,802 Oella Ave
2364,209 Westowne Rd
2365,401 N Beechwood Ave
2366,209 Westowne Rd
2367,100 S Symington Ave
2368,2408 Quilting Bee Rd
2369,1902 Altavue Rd
2370,642 Orpington Rd
2371,41 Walden Mill Way
2372,15 S Prospect Ave
2373,60 Bryans Mill Way
2374,411 Montemar Ave
2375,618 Orpington Rd
2376,642 Orpington Rd
2377,137 Nunnery Ln
2378,Melvin Park
2379,Abbey Square
2380,11 Ben Woods Ct
2381,Ivy Crossing at Catonsville Apartments
2382,Shade Tree Trace Apartments
2383,Overbrook Apartments
2384,White Oaks Apartments
2385,The Timbers
2386,"Park View at Catonsville, 62 yrs old & better"
2387,10 Stanley Dr
2388,Cherry Tree Manor
2389,Sherring Court Apartments
2390,140 Nunnery Ln
2391,St Mark's Apartments
2392,Village Oaks
2393,118 Beaumont Ave
2394,Fern Place
2395,Holly House Apartments
2396,31 Merrill Rd
2397,17 Fusting Ave
2398,631 Plymouth Rd
2399,6300 Mount Ridge Rd
2400,301 N Rolling Rd
2401,Reserve at Regency Park
2402,Lakeside Apartments
2403,The Elms at Centreville
2404,Woodway at Trinity Centre
2405,Post Corners
2406,Westfield Village
2407,Lee Overlook Apartments - Tax Credit
2408,Forest Glen Senior Apartments
2409,14831 Palmerston Square
2410,6129 Stonepath Cir
2411,Bent Tree Apartments
2412,5940 Grisby House Ct
2413,14135 Compton Valley Way
2414,14502 Ravenscar Ct
2415,5849 Orchard Hill Ln Unit O
2416,6249 Clay Pipe Ct
2417,13826 Fount Beattie Ct
2418,6105 Beddingfield Ct
2419,6863 Malton Ct
2420,14801 Rydell Rd Unit 104
2421,14122 Red River Dr
2422,13329 Connor Dr
2423,14749 Gatwick Sq
2424,14602 Thera Way
2425,13596 Lavender Mist Ln
2426,14351 Watery Mountain Ct
2427,6918 Compton Ln
2428,5714 Harrier Dr
2429,14703 Algretus Dr
2430,14007 Red River Dr
2431,6034 Basingstoke Ct
2432,13814 Rock Ter
2433,6241 Frosty Winter Ct
2434,15627 Jillians Forest Way
2435,14300 Grape Holly Grv Unit 32
2436,14426 Manassas Gap Ct
2437,14065 Winding Ridge Ln
2438,13619 Lavender Mist Ln
2439,14608 Indian Summer Ct
2440,6448 La Petite Pl
2441,5805 Orchard Hill Ln Unit 5805
2442,14235 Beddingfield Way
2443,15013 Olddale Rd
2444,14603 Flower Hill Ct
2445,15268 Eagle Tavern Way
2446,14300 Rosy Ln Unit 12
2447,6629 Skylemar Trl
2448,13940 Antonia Ford Ct
2449,5031 Greenhouse Ter
2450,4990 Centreville Farms Rd
2451,14807 Rydell Rd Unit 304
2452,14304 Watery Mountain Ct
2453,5963 Havener House Way
2454,5861 Orchard Hill Ln Unit 5861
2455,5641 Sheals Ln
2456,5106 Travis Edward Way Unit B
2457,14300 Grape Holly Grv
2458,13826 Fount Beattie Ct
2459,14523 Four Chimney Dr
2460,14413 Glencrest Cir
2461,14944 Greymont Dr
2462,Centreville Crossing
2463,Stonegate At Faircrest
2464,Madison Ridge Apartments
2465,Devon at South Riding
2466,42825 Eggleston Terrace
2467,3850 Lightfoot St Unit 459
2468,42812 Smallwood Ter
2469,25530 Taylor Crescent Dr
2470,13413 Foxhole Dr
2471,42994 Beachall St
2472,25534 Heyer Sq
2473,3840 Lightfoot St Unit 345
2474,42686 Sandman Ter
2475,43313 Burke Dale St
2476,43626 Obrien Sq
2477,25817 Turlough Ter
2478,43072 Walnutgrove Ln
2479,43349 Royal Burkedale St
2480,3934 Plum Run Ct
2481,13202 Grand Junction Dr
2482,43101 Holtby Sq
2483,25535 Little Cedar Ct
2484,3904 Carroll Ct
2485,42538 Neighborly Ln
2486,4163 Travers Ct
2487,3794 Vernacchia Dr
2488,24907 Pinebrook Rd
2489,3840 Lightfoot St Unit 247
2490,43418 Mountain View Dr
2491,26089 Wendell St
2492,13628 Old Chatwood Pl
2493,43261 Tabor House Ln
2494,43005 Beachall St
2495,25387 Bryson Dr
2496,14053 Walney Village Ct
2497,3810 Lightfoot St Unit 403
2498,4481 Shady Point Pl
2499,43345 Nicklaus Ln
2500,3810 Lightfoot St Unit 312
2501,3850 Lightfoot St Unit 257
2502,26124 Lands End Dr
2503,4007 Summer Hollow Ct
2504,43195 Katama Sq
2505,25490 Amber Gate Ter
2506,4120 Placid Lake Ct Unit 66E
2507,Chantilly Mews
2508,Meadows of Chantilly
2509,The Fields of Chantilly
2510,3716 30th St
2511,3679 Brookeside Dr
2512,4012 14th St
2513,3909 17th St
2514,3803 Harbor Rd
2515,3623 Harbor Rd
2516,8420 D St
2517,4015 Windward Key Ct
2518,8066 Windward Key Dr
2519,2185 Ivy Ln Unit 5
2520,4012 Seagate Sq
2521,3918 Dogwood Rd
2522,3820 27th St
2523,7898 Eagle View Dr
2524,3807 Harbor Rd
2525,8561 E St
2526,8508 F St
2527,6550 8th St
2528,5030 Christiana Parran Rd
2529,Harbor House Apartments
2530,Courtyards At Fishing Creek - Tax Credit
2531,8420 D St
2532,Cheverly Station Apartments
2533,3122 Cheverly Ave
2534,Highland House West
2535,North Park Apartments
2536,Aldon of Chevy Chase
2537,Wisconsin Place
2538,4701 Willard
2539,Highland House
2540,Bradley View
2541,Lake Apartments and Townhomes
2542,The Strathmore
2543,3535 Chevy Chase Lake Dr Unit 204
2544,3535 Chevy Chase Lake Dr Unit 204
2545,4233 East West Highway
2546,5500 Friendship Blvd Unit 828N
2547,5500 Friendship Blvd Unit 1605
2548,5500 Friendship Blvd Unit 1024N
2549,The Fields of Bethesda
2550,4700 Monaco Cir
2551,4540 Windsor Ln
2552,6404 Stratford Rd
2553,7203 Connecticut Ave
2554,4616 Maple Ave
2555,4515 Willard Ave Unit 916S
2556,4613 Cheltenham Dr
2557,4550 N Park Ave Unit 604
2558,4515 Willard Ave Unit 1119
2559,6732 Kenwood Forest Ln
2560,6619 Fairfax Rd
2561,5500 Friendship Blvd Unit 1221N
2562,4242 E West Hwy Unit 708
2563,8900 Spring Valley Rd
2564,4921 Chevy Chase Blvd
2565,4620 N Park Ave Unit 902E
2566,4515 Willard Ave Unit 602S
2567,4242 E West Hwy Unit 702
2568,4242 E West Hwy Unit 515
2569,4811 Drummond Ave
2570,4116 Blackthorn St
2571,4515 Willard Ave Unit 1903S
2572,5812 Highland Dr
2573,4242 E West Hwy Unit 513
2574,4242 E West Hwy Unit 406
2575,8609 Lancaster Dr
2576,4826 Langdrum Ln
2577,4733 Bradley Blvd Unit 5
2578,6724 Offutt Ln Unit 203A
2579,4620 N Park Ave Unit 1102E
2580,4620 N Park Ave Unit 505W
2581,4550 N Park Ave Unit 313
2582,4601 N Park Ave
2583,4601 N Park Ave Unit 818
2584,4553 N Chelsea Ln
2585,2953 Terrace Dr
2586,5526 Warwick Pl
2587,6705 Hillandale Rd
2588,4413 Rosedale Ave
2589,4242 E West Hwy Unit 308
2590,5630 Wisconsin Ave Unit 203
2591,2715 Abilene Dr
2592,4601 N Park Ave Unit 1018-T
2593,6420 Garnett Dr
2594,5500 Friendship Blvd
2595,7910 Glendale Rd
2596,8584 Freyman Dr
2597,8584 Freyman Dr
2598,8584 Freyman Dr
2599,8512 Lynwood Pl
2600,4613 Cheltenham Dr
2601,3929 Newdale Rd
2602,Barclay and Fairfax Court
2603,4242 E West Hwy Unit 709
2604,4515 Willard Ave Unit 1403S
2605,2709 Navarre Dr
2606,Preston Place Townhomes
2607,Chevy Chase Drive Apartments
2608,Round Hill Apartments
2609,Newdale Mews Apartments
2610,4733 Bradley Blvd
2611,Chevy Chase Lake Apartments
2612,The Brownstones at Chevy Chase Lake
2613,4810 Chevy Chase Dr
2614,Kenwood House
2615,The Willoughby
2616,4225-4229 East-West Hwy
2617,Landmark Apartments
2618,Highview Terrace
2619,3350 At Alterra
2620,Avondale Overlook
2621,Belcrest Plaza Apartments
2622,Queens Park Plaza Apartments
2623,Overlook Apartments
2624,Lasalle Park Apartments
2625,Kings Park Plaza Apartment Homes
2626,University City
2627,Takoma Landing
2628,Belford Towers
2629,1001 Chillum Rd
2630,5601 Parker House Ter Unit 418
2631,1005 Chillum Rd Unit 302
2632,835 Fairview Ave Unit 4
2633,2006 Van Buren St
2634,1009 Chillum Rd Unit 402
2635,Dean Manor Apartments
2636,Canonbury Square Apartments
2637,Plaza Towers Apartments
2638,Newbury Square
2639,Sheridan Apartments
2640,Rollingcrest Commons Senior Apartments
2641,Evergreen Terrace Apartments
2642,Fleetwood Village
2643,Toledo Plaza
2644,Chillum Terrace
2645,Tudor Place
2646,6816 Red Top Rd
2647,6812 Red Top Rd
2648,6814 Red Top Rd
2649,6808 Red Top Rd
2650,6810 Red Top Rd
2651,6815 Red Top Rd
