pid,type
1228,House
1229,House
1230,Condo
1231,Condo
1232,Condo
1233,Condo
1234,Condo
1235,House
1236,House
1237,House
1238,Condo
1239,House
1240,Unknown
1241,House
1242,Condo
1243,Condo
1244,Condo
1245,Condo
1246,Condo
1247,Condo
1248,Apartment
1249,Townhome
1250,Condo
1251,House
1252,Condo
1253,Condo
1254,Apartment
1255,Apartment
1256,Apartment
1257,Apartment
1258,Apartment
1259,Apartment
1260,Apartment
1261,Apartment
1262,Apartment
1263,Apartment
1264,Apartment
1265,Apartment
1266,Apartment
1267,Apartment
1268,Apartment
1269,Apartment
1270,Apartment
1271,Apartment
1272,Apartment
1273,Apartment
1274,Apartment
1275,Apartment
1276,Apartment
1277,Apartment
1278,Apartment
1279,Apartment
1280,Apartment
1281,Apartment
1282,Apartment
1283,Apartment
1284,Apartment
1285,Apartment
1286,Apartment
1287,Apartment
1288,Apartment
1289,Apartment
1290,Apartment
1291,Apartment
1292,Apartment
1293,Apartment
1294,Apartment
1295,Apartment
1296,Apartment
1297,Apartment
1298,Apartment
1299,Apartment
1300,Apartment
1301,Apartment
1302,Apartment
1303,Apartment
1304,Apartment
1305,Apartment
1306,Apartment
1307,Apartment
1308,Apartment
1309,Apartment
1310,Apartment
1311,Apartment
1312,Apartment
1313,Apartment
1314,Apartment
1315,Apartment
1316,Apartment
1317,Apartment
1318,Apartment
1319,Apartment
1320,Apartment
1321,Apartment
1322,Apartment
1323,Apartment
1324,Apartment
1325,Apartment
1326,Apartment
1327,Apartment
1328,Apartment
1329,Apartment
1330,Apartment
1331,Apartment
1332,Apartment
1333,Apartment
1334,Apartment
1335,Apartment
1336,Apartment
1337,Apartment
1338,Apartment
1339,Apartment
1340,Apartment
1341,Apartment
1342,Apartment
1343,Apartment
1344,Apartment
1345,Apartment
1346,Apartment
1347,Apartment
1348,Apartment
1349,Apartment
1350,Apartment
1351,Apartment
1352,Apartment
1353,Apartment
1354,Apartment
1355,Apartment
1356,Apartment
1357,Apartment
1358,Apartment
1359,Apartment
1360,Apartment
1361,Apartment
1362,Apartment
1363,Apartment
1364,Apartment
1365,Apartment
1366,Apartment
1367,Apartment
1368,Apartment
1369,Apartment
1370,Apartment
1371,Apartment
1372,Apartment
1373,Apartment
1374,Apartment
1375,Apartment
1376,Apartment
1377,Apartment
1378,Apartment
1379,Apartment
1380,Apartment
1381,Apartment
1382,Apartment
1383,Apartment
1384,Apartment
1385,Apartment
1386,Apartment
1387,Apartment
1388,Apartment
1389,Apartment
1390,Apartment
1391,Apartment
1392,Apartment
1393,Apartment
1394,Apartment
1395,Apartment
1396,Apartment
1397,Apartment
1398,Apartment
1399,Apartment
1400,Apartment
1401,Apartment
1402,Apartment
1403,Apartment
1404,Apartment
1405,Apartment
1406,Apartment
1407,Apartment
1408,Apartment
1409,Apartment
1410,Apartment
1411,Apartment
1412,Apartment
1413,Apartment
1414,Apartment
1415,Apartment
1416,Apartment
1417,Apartment
1418,Apartment
1419,Apartment
1420,Apartment
1421,Apartment
1422,Apartment
1423,Apartment
1424,House
1425,Townhome
1426,House
1427,House
1428,House
1429,House
1430,House
1431,Unknown
1432,Townhome
1433,Condo
1434,House
1435,House
1436,Condo
1437,House
1438,Unknown
1439,Townhome
1440,Condo
1441,Townhome
1442,Condo
1443,Apartment
1444,Apartment
1445,Apartment
1446,Apartment
1447,Apartment
1448,Apartment
1449,Apartment
1450,Apartment
1451,Apartment
1452,Apartment
1453,Apartment
1454,Apartment
1455,Apartment
1456,Apartment
1457,Apartment
1458,Townhome
1459,Townhome
1460,Townhome
1461,Unknown
1462,Unknown
1463,Condo
1464,Condo
1465,Townhome
1466,Townhome
1467,House
1468,Condo
1469,Townhome
1470,Townhome
1471,Townhome
1472,Townhome
1473,Townhome
1474,Townhome
1475,Townhome
1476,Townhome
1477,Townhome
1478,Townhome
1479,Townhome
1480,House
1481,Townhome
1482,Townhome
1483,Townhome
1484,House
1485,Townhome
1486,House
1487,Unknown
1488,Townhome
1489,Condo
1490,House
1491,Townhome
1492,House
1493,House
1494,House
1495,House
1496,House
1497,Townhome
1498,Unknown
1499,Townhome
1500,Townhome
1501,Condo
1502,Townhome
1503,Townhome
1504,Townhome
1505,Townhome
1506,Condo
1507,Condo
1508,Townhome
1509,Townhome
1510,House
1511,Condo
1512,Townhome
1513,Unknown
1514,Condo
1515,Condo
1516,House
1517,Townhome
1518,House
1519,Townhome
1520,House
1521,Townhome
1522,Townhome
1523,Condo
1524,House
1525,Townhome
1526,Townhome
